                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3288,                 1.4206,                 1.4777,                0.70504,                0.76374,                 0.7656,                0.48315,                 1.2187,                 1.2282,                 1.3891,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3138,                 1.4547,                 1.4194,                0.73708,                0.71797,                0.77682,                 0.4953,                  1.201,                 1.2018,                 1.3664,               0.000614,               0.000614,               0.000614
                     37,                 1.3268,                 1.4354,                 1.4654,                0.74424,                0.73415,                 0.8005,                0.49793,                 1.2161,                 1.1803,                 1.4005,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3125,                 1.4004,                 1.4378,                 0.7657,                 0.7094,                0.79474,                0.50761,                 1.2045,                 1.1589,                 1.3943,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2932,                 1.3158,                 1.4516,                0.77057,                0.73659,                0.80609,                0.52916,                 1.1591,                 1.1059,                 1.3547,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2623,                 1.3509,                 1.4116,                0.73914,                0.77073,                0.80594,                0.53321,                 1.1224,                 1.1023,                 1.3199,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.2654,                 1.4377,                 1.4565,                0.79101,                0.73851,                0.82343,                0.54152,                 1.1597,                 1.1172,                 1.3392,               0.000416,               0.000416,               0.000416
                     42,                    1.2,                 1.3373,                 1.4067,                0.78189,                0.75854,                0.83336,                0.55186,                 1.1452,                 1.0859,                 1.3379,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.191,                 1.2519,                 1.4128,                0.78812,                0.79756,                0.84551,                0.56095,                 1.1353,                 1.0409,                 1.3231,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.1646,                 1.1987,                 1.3807,                0.78567,                 0.7878,                0.86032,                0.58539,                 1.0999,                 1.0009,                 1.2913,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.2128,                 1.1941,                 1.4122,                0.82949,                0.78309,                0.86818,                0.59992,                 1.0556,                0.97492,                 1.2692,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.146,                 1.1729,                 1.3556,                  0.824,                0.83361,                0.87864,                0.61031,                 1.0353,                0.94247,                 1.2617,               0.000218,               0.000218,               0.000218
                     47,                 1.1366,                 1.1404,                 1.3346,                0.81805,                0.85854,                0.88993,                0.62776,                 1.0217,                 0.9081,                 1.2504,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0987,                 1.1604,                  1.331,                0.83677,                0.83415,                0.90117,                0.63752,                0.99963,                0.87745,                 1.2306,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.1022,                 1.0399,                 1.2896,                0.81414,                0.87805,                0.90645,                0.64635,                 0.9707,                0.86658,                 1.2158,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0494,                 1.0628,                 1.2967,                0.82668,                0.87253,                0.91034,                0.65311,                0.95732,                0.85339,                 1.2121,               5.96e-05,               5.96e-05,               5.96e-05
